hour,voltage_mean,voltage_sd,current_mean,current_sd,power_mean,power_sd
0,0.1341,0.16544458011947413,1.38301,4.858054585267063,0.1240936,0.24825029562483542
1,0.1189,0.1657056840828755,1.51753,5.559703050450799,0.1431543,0.2860427047662816
2,0.1781,0.18936200700502118,1.5068000000000001,4.507637444752332,0.19985650000000002,0.3488096765013259
3,0.406,0.24,2.1984,3.226184349125985,0.5431752,0.4682816075813244
4,0.914,0.25891771634707395,1.31905,0.8737210494329539,1.0734925,0.5039897930832238
5,2.1192,0.30700797870723,1.14468,0.3298726990457949,2.3757262,0.5732916552659173
6,4.3399,0.38143666485136074,1.06735,0.1866101307782911,4.5933638,0.668153393314391
7,8.096,0.6126297017898753,1.0703,0.1233469689432,8.6318176,0.9263373194186432
8,13.2412,0.9479198704574563,1.08133,0.12450906056033095,14.2466899,1.2927938188682795
9,19.5956,1.3234179195926699,1.07606,0.10767476468279348,21.0133323,1.856014869862637
10,25.8374,1.7896947541777377,1.07386,0.10644873760347626,27.6426094,2.3529267403976744
11,30.4738,2.0775231853961547,1.07761,0.10667688350691294,32.7153305,2.7635922180837897
12,32.2214,2.1403247275574655,1.07869,0.1072392487135492,34.6312783,2.9488366058875375
13,30.5527,2.059347182526982,1.07907,0.10949823622951073,32.8359295,2.730417417408116
14,25.8158,1.7929019307628995,1.0767499999999999,0.10638897328371788,27.6878497,2.2905996660053782
15,19.5377,1.371796621112973,1.08428,0.1136797806351355,21.0976558,1.8813606601451454
16,13.2893,0.9527633971291566,1.07919,0.12082759192211426,14.2796051,1.370445790707413
17,8.0084,0.5866730715903816,1.08466,0.1376743500680743,8.6482367,0.9667541557838598
18,4.4066,0.4088323357904543,1.05753,0.19142688321174123,4.614442,0.6885663154759175
19,2.1109,0.3295331714882602,1.05409,0.2880570263056265,2.1837282,0.5402501509343668
20,0.9374,0.27492742844083584,1.09985,0.8082675621477099,0.9398447,0.5853149400514085
21,0.3139,0.2629740356657733,2.23925,7.743986003325223,0.3723438,0.4600320062004909
22,0.1888,0.2071318323184439,2.5609,8.5320722476069,0.2231019,0.37003440951844824
23,0.1314,0.1759190585227057,1.64927,9.849524158998081,0.12025279999999999,0.2611484761125732
