panel_id,hour,voltage,current
P001,0:00,0,0
P001,1:00,0,0
P001,2:00,0,0
P001,3:00,0,0
P001,4:00,0,0
P001,5:00,0,0
P001,6:00,0,0
P001,7:00,10.22886236,0.9259375276
P001,8:00,23.90476689,2.293523367
P001,9:00,34.05418258,3.474519597
P001,10:00,41.1564865,4.139279677
P001,11:00,46.48352825,4.65270344
P001,12:00,47.34838717,5.080616239
P001,13:00,46.87370758,4.505453249
P001,14:00,42.49223976,4.13912681
P001,15:00,29.60109474,2.533900635
P001,16:00,23.54787754,2.378222528
P001,17:00,12.17694345,1.225793751
P001,18:00,5.83E-15,5.91E-16
P001,19:00,0,0
P001,20:00,0,0
P001,21:00,0,0
P001,22:00,0,0
P001,23:00,0,0
P002,0:00,0,0
P002,1:00,0,0
P002,2:00,0,0
P002,3:00,0,0
P002,4:00,0,0
P002,5:00,0,0
P002,6:00,0,0
P002,7:00,12.18823233,1.330988986
P002,8:00,24.05701438,2.512423231
P002,9:00,34.95412576,3.867619382
P002,10:00,41.05407129,4.222920931
P002,11:00,47.74679721,4.699917022
P002,12:00,49.8714924,4.525096958
P002,13:00,45.56521034,4.904930236
P002,14:00,41.83764851,4.218816967
P002,15:00,34.86899604,3.455089872
P002,16:00,24.12622371,2.414618681
P002,17:00,12.33568347,1.339385083
P002,18:00,5.97E-15,6.54E-16
P002,19:00,0,0
P002,20:00,0,0
P002,21:00,0,0
P002,22:00,0,0
P002,23:00,0,0
P003,0:00,0,0
P003,1:00,0,0
P003,2:00,0,0
P003,3:00,0,0
P003,4:00,0,0
P003,5:00,0,0
P003,6:00,0,0
P003,7:00,12.60548292,1.235769227
P003,8:00,24.52199599,2.115629926
P003,9:00,34.13853554,3.85133655
P003,10:00,42.03938432,4.044698154
P003,11:00,45.81296467,4.455536709
P003,12:00,42.89991129,3.578791334
P003,13:00,46.42570007,4.886742021
P003,14:00,43.07636711,3.861682703
P003,15:00,33.89721676,3.288046616
P003,16:00,23.5494556,2.273059356
P003,17:00,13.06121485,1.223820682
P003,18:00,6.01E-15,6.10E-16
P003,19:00,0,0
P003,20:00,0,0
P003,21:00,0,0
P003,22:00,0,0
P003,23:00,0,0
P004,0:00,0,0
P004,1:00,0,0
P004,2:00,0,0
P004,3:00,0,0
P004,4:00,0,0
P004,5:00,0,0
P004,6:00,0,0
P004,7:00,12.64812771,1.194064115
P004,8:00,24.20322286,2.649005803
P004,9:00,26.41109863,3.052017027
P004,10:00,43.12038395,4.308376024
P004,11:00,45.86936066,4.785999725
P004,12:00,47.80132766,4.947509383
P004,13:00,47.90462158,5.127592363
P004,14:00,41.87034455,4.107545403
P004,15:00,34.43762684,3.591410585
P004,16:00,24.85741433,2.546190689
P004,17:00,9.688944855,0.9091004489
P004,18:00,5.96E-15,6.11E-16
P004,19:00,0,0
P004,20:00,0,0
P004,21:00,0,0
P004,22:00,0,0
P004,23:00,0,0
P005,0:00,0,0
P005,1:00,0,0
P005,2:00,0,0
P005,3:00,0,0
P005,4:00,0,0
P005,5:00,0,0
P005,6:00,0,0
P005,7:00,12.49272419,1.206562014
P005,8:00,24.32771916,2.338823868
P005,9:00,35.39228561,3.347085914
P005,10:00,42.82733891,3.722281529
P005,11:00,48.22766972,4.560989325
P005,12:00,48.55442692,5.088945516
P005,13:00,47.59710361,4.375927303
P005,14:00,42.71378495,3.940037376
P005,15:00,35.32102358,3.112732585
P005,16:00,25.37155668,2.45832232
P005,17:00,12.83589718,1.267914473
P005,18:00,5.96E-15,5.54E-16
P005,19:00,0,0
P005,20:00,0,0
P005,21:00,0,0
P005,22:00,0,0
P005,23:00,0,0
P006,0:00,0,0
P006,1:00,0,0
P006,2:00,0,0
P006,3:00,0,0
P006,4:00,0,0
P006,5:00,0,0
P006,6:00,0,0
P006,7:00,12.41981822,1.156210789
P006,8:00,23.59978638,2.301784129
P006,9:00,33.74243134,3.149360287
P006,10:00,42.21123721,4.665986622
P006,11:00,45.0005604,4.777911652
P006,12:00,48.20552444,4.882326294
P006,13:00,47.02087371,5.339713664
P006,14:00,40.57794037,4.223617966
P006,15:00,33.87767827,3.555188903
P006,16:00,24.23500887,2.540446202
P006,17:00,9.307015825,0.9077196126
P006,18:00,5.92E-15,6.80E-16
P006,19:00,0,0
P006,20:00,0,0
P006,21:00,0,0
P006,22:00,0,0
P006,23:00,0,0
P007,0:00,0,0
P007,1:00,0,0
P007,2:00,0,0
P007,3:00,0,0
P007,4:00,0,0
P007,5:00,0,0
P007,6:00,0,0
P007,7:00,12.45406066,1.274248023
P007,8:00,23.26463074,2.853623832
P007,9:00,35.05142417,3.410640957
P007,10:00,40.51574713,3.809482996
P007,11:00,45.72574095,3.743973683
P007,12:00,47.39215257,4.891318407
P007,13:00,45.13349071,4.641938934
P007,14:00,41.23423242,4.177862331
P007,15:00,33.03417879,3.382104641
P007,16:00,24.51237145,2.402206325
P007,17:00,12.49506768,1.338857156
P007,18:00,5.82E-15,5.65E-16
P007,19:00,0,0
P007,20:00,0,0
P007,21:00,0,0
P007,22:00,0,0
P007,23:00,0,0
P008,0:00,0,0
P008,1:00,0,0
P008,2:00,0,0
P008,3:00,0,0
P008,4:00,0,0
P008,5:00,0,0
P008,6:00,0,0
P008,7:00,12.15493099,1.246269012
P008,8:00,23.98186556,2.278649546
P008,9:00,33.63295173,3.596412936
P008,10:00,41.64184428,4.407259399
P008,11:00,45.88770839,4.949017412
P008,12:00,45.19161247,4.508827093
P008,13:00,45.01811425,5.172696255
P008,14:00,40.76263278,4.5424657
P008,15:00,34.51815856,3.454936144
P008,16:00,23.46857185,2.719192313
P008,17:00,12.27472831,1.290115196
P008,18:00,5.74E-15,6.34E-16
P008,19:00,0,0
P008,20:00,0,0
P008,21:00,0,0
P008,22:00,0,0
P008,23:00,0,0
P009,0:00,0,0
P009,1:00,0,0
P009,2:00,0,0
P009,3:00,0,0
P009,4:00,0,0
P009,5:00,0,0
P009,6:00,0,0
P009,7:00,12.20784433,1.479070162
P009,8:00,23.89456401,2.636879871
P009,9:00,34.37879139,3.772556582
P009,10:00,40.76948398,4.558938147
P009,11:00,45.81095769,4.803842283
P009,12:00,48.00867082,5.174911738
P009,13:00,44.64443332,4.64896375
P009,14:00,41.05097743,4.659767321
P009,15:00,34.66823932,3.970535249
P009,16:00,24.1599104,2.791849919
P009,17:00,12.495259,1.386868967
P009,18:00,5.81E-15,6.34E-16
P009,19:00,0,0
P009,20:00,0,0
P009,21:00,0,0
P009,22:00,0,0
