panel_id,time,voltage,current
P001,0:00,0.0,0.0
P001,1:00,0.0,0.0
P001,2:00,0.0,0.0
P001,3:00,0.0,0.0
P001,4:00,0.0,0.0
P001,5:00,0.0,0.0
P001,6:00,0.0,0.0
P001,7:00,12.117524404899298,1.3956210728219638
P001,8:00,24.203427999917988,2.147294520592764
P001,9:00,33.22866243777256,3.5723130489409622
P001,10:00,41.66248219406912,3.9948755279344152
P001,11:00,46.28067628173226,4.990914927673047
P001,12:00,48.793158570699866,5.181529643432932
P001,13:00,46.49023598891085,4.294334355058545
P001,14:00,41.550945167147866,4.199112094711368
P001,15:00,33.06751343356298,3.396231431944849
P001,16:00,23.55303436874332,2.6278595639169193
P001,17:00,12.524178779180891,1.3894638255319622
P001,18:00,6.036526468553221e-15,6.507107613981355e-16
P001,19:00,0.0,0.0
P001,20:00,0.0,0.0
P001,21:00,0.0,0.0
P001,22:00,0.0,0.0
P001,23:00,0.0,0.0
P002,0:00,0.0,0.0
P002,1:00,0.0,0.0
P002,2:00,0.0,0.0
P002,3:00,0.0,0.0
P002,4:00,0.0,0.0
P002,5:00,0.0,0.0
P002,6:00,0.0,0.0
P002,7:00,12.338347709652727,1.368030068580346
P002,8:00,23.29167752943807,2.3636014038523823
P002,9:00,33.502543166996496,3.6451398003395465
P002,10:00,41.750507869360945,4.444265026999091
P002,11:00,46.15951043017983,5.049328748983719
P002,12:00,47.3028964310365,5.224004440302705
P002,13:00,46.14264635216967,5.1200812382981065
P002,14:00,40.834998786220545,3.827577476453129
P002,15:00,33.88364885346592,3.25693871228322
P002,16:00,23.7135501414931,2.451033498864397
P002,17:00,11.945952106789136,1.3090340682243313
P002,18:00,5.890577846381512e-15,6.648867080199699e-16
P002,19:00,0.0,0.0
P002,20:00,0.0,0.0
P002,21:00,0.0,0.0
P002,22:00,0.0,0.0
P002,23:00,0.0,0.0
P003,0:00,0.0,0.0
P003,1:00,0.0,0.0
P003,2:00,0.0,0.0
P003,3:00,0.0,0.0
P003,4:00,0.0,0.0
